sales1_name,chan1_name,chan2_name,all_name,hl,hrf,max,cps,wks,dma1_name,decomp,spend
Business Checking - New Checking Accounts,Direct Mail,Consumer,overall,4,0.15,19128548,0.47,1,National,21,1840416
Business Checking - New Checking Accounts,Online Video,Business,overall,1.5,0.15,1395229,0.02,1,National,21,4002
Business Checking - New Checking Accounts,Online Display,Ink,overall,1.5,0.15,10684098,0.03,1,National,28,31219
Business Checking - New Checking Accounts,Radio,Business,overall,1.5,0.6,1593,460.55,1,National,45,122992
Business Checking - New Checking Accounts,Online Display,Corporate,overall,0.5,0.15,114966539,0.01,1,National,54,122845
Business Checking - New Checking Accounts,Paid Search,Business,overall,0.3,0.15,1883,1.97,1,National,67,1263
Business Checking - New Checking Accounts,Online Display,Business,overall,1.5,0.15,39670496,0.01,1,National,77,52933
Business Checking - New Checking Accounts,Paid Search,Consumer,overall,0.3,0.15,335809,1.94,1,National,79,77223
Business Checking - New Checking Accounts,Television,Consumer,overall,4,0.6,18745,146.47,1,National,132,1212804
Business Checking - New Checking Accounts,Television,Business,overall,1.5,0.15,10799,96.16,1,National,253,358763
Business Savings - New Savings Accounts,Online Display,Ink,overall,0.5,0.15,10684098,0.03,1,National,7,31219
Business Savings - New Savings Accounts,Radio,JMC,overall,1.5,0.6,5,1825.47,1,National,11,880
Business Savings - New Savings Accounts,Online Display,Consumer,overall,0.3,0.15,7351081,0.01,1,National,13,43183
Business Savings - New Savings Accounts,Newspaper,Business,overall,1.5,0.45,9855,1,1,National,13,1011
Business Savings - New Savings Accounts,Paid Search,Business,overall,0.5,0.15,1883,1.97,1,National,15,1263
Business Savings - New Savings Accounts,Paid Search,Consumer,overall,0.3,0.15,335809,1.94,1,National,24,77223
Business Savings - New Savings Accounts,Television,Consumer,overall,4,0.3,18745,146.47,1,National,30,1212804
Business Savings - New Savings Accounts,Online Video,Ink,overall,0.5,0.15,6404335,0.01,1,National,36,31902
Business Savings - New Savings Accounts,Radio,Business,overall,0.3,0.6,1593,460.55,1,National,50,122992
Business Savings - New Savings Accounts,Direct Mail,Consumer,overall,3,0.15,19128548,0.47,1,National,52,1840416
Business Savings - New Savings Accounts,Online Display,Business,overall,0.3,0.15,39670496,0.01,1,National,151,52933
Consumer Checking - New Checking Accounts,Trade Magazine,Retail Total,overall,0.5,0.15,12467,1,1,National,65,3661
Consumer Checking - New Checking Accounts,Newspaper,Consumer,overall,4,0.45,28300,1,1,National,116,7051
Consumer Checking - New Checking Accounts,Online Video,Consumer,overall,0.3,0.15,50688024,0.01,1,National,154,277804
Consumer Checking - New Checking Accounts,Magazine,Consumer,overall,0.3,0.45,117733,1,1,National,240,42069
Consumer Checking - New Checking Accounts,Television,Retail Mortgage,overall,3,0.3,951,107.38,1,National,299,32836
Consumer Checking - New Checking Accounts,Online Display,Consumer,overall,0.5,0.15,45145360,0.01,1,National,626,154641
Consumer Checking - New Checking Accounts,Television,Consumer,overall,6,0.15,18988,145.38,1,National,2086,1225856
Consumer Checking - New Checking Accounts,Paid Search,Consumer & XLB,overall,0.3,0.15,1262917,2.31,1,National,2425,294396
Consumer Checking - New Checking Accounts,Television,Card Total,overall,4,0.3,32086,105.13,1,National,3056,1263047
Consumer Checking - New Checking Accounts,Direct Mail,Consumer,overall,4,0.15,19128548,0.47,1,National,8749,1840416
Consumer Checking - Total Balances,Newspaper,Consumer,overall,0.3,0.45,28300,1,1,National,1154252,7051
Consumer Checking - Total Balances,Online Display,Consumer,overall,0.3,0.15,45145360,0.01,1,National,1640170,154641
Consumer Checking - Total Balances,Magazine,Consumer,overall,0.5,0.6,117733,1,1,National,3940103,42069
Consumer Checking - Total Balances,Paid Search,Consumer & XLB,overall,0.3,0.15,1262917,2.31,1,National,5226389,294396
Consumer Checking - Total Balances,Television,Business Total,overall,0.3,0.15,10799,96.09,1,National,7703605,368892
Consumer Checking - Total Balances,Television,Consumer,overall,4,0.15,18988,145.38,1,National,15231635,1225856
Consumer Checking - Total Balances,Direct Mail,Consumer,overall,3,0.15,19128548,0.47,1,National,25791105,1840416
Consumer Savings - New Savings Accounts,Trade Magazine,Retail Total,overall,0.5,0.15,12467,1,1,National,33,3661
