week_id,sales1_name,factor
1,Freedom Card - New Applications,-1637.803676
2,Freedom Card - New Applications,-1637.803676
3,Freedom Card - New Applications,-1637.803676
4,Freedom Card - New Applications,-1637.803676
5,Freedom Card - New Applications,-1637.803676
6,Freedom Card - New Applications,-1637.646433
7,Freedom Card - New Applications,-6216.802278
8,Freedom Card - New Applications,-6217.287921
9,Freedom Card - New Applications,0
10,Freedom Card - New Applications,0
11,Freedom Card - New Applications,0
12,Freedom Card - New Applications,0
13,Freedom Card - New Applications,-997.09686
14,Freedom Card - New Applications,-997.09686
15,Freedom Card - New Applications,-4607.344121
16,Freedom Card - New Applications,-4607.344121
17,Freedom Card - New Applications,3283.243174
18,Freedom Card - New Applications,3283.335991
19,Freedom Card - New Applications,-877.168225
20,Freedom Card - New Applications,-877.145182
21,Freedom Card - New Applications,0
22,Freedom Card - New Applications,0
23,Freedom Card - New Applications,-409.463288
24,Freedom Card - New Applications,-409.451713
25,Freedom Card - New Applications,3799.924063
26,Freedom Card - New Applications,3800.031483
27,Freedom Card - New Applications,0
28,Freedom Card - New Applications,0
29,Freedom Card - New Applications,1298.402211
30,Freedom Card - New Applications,1298.368102
31,Freedom Card - New Applications,654.456688
32,Freedom Card - New Applications,654.38045
33,Freedom Card - New Applications,2409.564956
34,Freedom Card - New Applications,2409.564956
35,Freedom Card - New Applications,3293.224373
36,Freedom Card - New Applications,3292.967133
37,Freedom Card - New Applications,413.968056
38,Freedom Card - New Applications,413.957181
39,Freedom Card - New Applications,-6491.86311
40,Freedom Card - New Applications,-6491.850134
41,Freedom Card - New Applications,-4286.87219
42,Freedom Card - New Applications,-4286.984808
43,Freedom Card - New Applications,-3178.818181
44,Freedom Card - New Applications,-3178.818181
45,Freedom Card - New Applications,-4484.279602
46,Freedom Card - New Applications,-4484.397405
47,Freedom Card - New Applications,516.595262
48,Freedom Card - New Applications,516.595262
49,Freedom Card - New Applications,1213.375017
50,Freedom Card - New Applications,1213.377442
51,Freedom Card - New Applications,18900.51868
52,Freedom Card - New Applications,18900.51868
1,Slate Card - New Applications,1352.683107
2,Slate Card - New Applications,1352.683107
3,Slate Card - New Applications,1352.683107
4,Slate Card - New Applications,1352.683107
5,Slate Card - New Applications,1352.683107
6,Slate Card - New Applications,1352.603185
7,Slate Card - New Applications,0
8,Slate Card - New Applications,0
9,Slate Card - New Applications,6553.638057
10,Slate Card - New Applications,6553.337911
11,Slate Card - New Applications,0
12,Slate Card - New Applications,0
13,Slate Card - New Applications,4185.729154
14,Slate Card - New Applications,4185.729154
15,Slate Card - New Applications,4677.933278
16,Slate Card - New Applications,4678.412355
17,Slate Card - New Applications,2145.475694
18,Slate Card - New Applications,2145.604958
19,Slate Card - New Applications,0
20,Slate Card - New Applications,0
21,Slate Card - New Applications,1157.229564
22,Slate Card - New Applications,1157.095694
23,Slate Card - New Applications,0
24,Slate Card - New Applications,0
25,Slate Card - New Applications,2803.436257
26,Slate Card - New Applications,2803.177838
27,Slate Card - New Applications,0
28,Slate Card - New Applications,0
29,Slate Card - New Applications,0
30,Slate Card - New Applications,0
31,Slate Card - New Applications,80.060535
32,Slate Card - New Applications,80.039903
33,Slate Card - New Applications,0
34,Slate Card - New Applications,0
35,Slate Card - New Applications,609.973784
36,Slate Card - New Applications,609.973784
37,Slate Card - New Applications,0
38,Slate Card - New Applications,0
39,Slate Card - New Applications,0
40,Slate Card - New Applications,0
41,Slate Card - New Applications,1382.173403
42,Slate Card - New Applications,1382.031858
43,Slate Card - New Applications,3042.260063
44,Slate Card - New Applications,3042.258291
45,Slate Card - New Applications,0
46,Slate Card - New Applications,0
47,Slate Card - New Applications,909.885654
48,Slate Card - New Applications,909.885654
49,Slate Card - New Applications,3233.161141
50,Slate Card - New Applications,3233.011184
51,Slate Card - New Applications,4614.046071
52,Slate Card - New Applications,4614.515938
1,Ink Card - New Applications,1374.775957
2,Ink Card - New Applications,1374.775957
3,Ink Card - New Applications,1374.775957
4,Ink Card - New Applications,1374.775957
5,Ink Card - New Applications,1374.775957
6,Ink Card - New Applications,1374.427575
7,Ink Card - New Applications,1019.201702
8,Ink Card - New Applications,1018.830175
9,Ink Card - New Applications,1167.976333
10,Ink Card - New Applications,1167.743643
11,Ink Card - New Applications,-695.562257
12,Ink Card - New Applications,-694.299627
13,Ink Card - New Applications,0
14,Ink Card - New Applications,0
15,Ink Card - New Applications,0
16,Ink Card - New Applications,0
17,Ink Card - New Applications,1141.199628
18,Ink Card - New Applications,1141.417174
19,Ink Card - New Applications,0
20,Ink Card - New Applications,0
21,Ink Card - New Applications,-2279.108736
22,Ink Card - New Applications,-2282.84078
23,Ink Card - New Applications,0
24,Ink Card - New Applications,0
25,Ink Card - New Applications,0
26,Ink Card - New Applications,0
27,Ink Card - New Applications,0
28,Ink Card - New Applications,0
29,Ink Card - New Applications,0
30,Ink Card - New Applications,0
31,Ink Card - New Applications,496.021364
32,Ink Card - New Applications,496.135583
33,Ink Card - New Applications,0
34,Ink Card - New Applications,0
35,Ink Card - New Applications,0
36,Ink Card - New Applications,0
37,Ink Card - New Applications,-1619.092335
38,Ink Card - New Applications,-1621.056656
39,Ink Card - New Applications,0
40,Ink Card - New Applications,0
41,Ink Card - New Applications,0
42,Ink Card - New Applications,0
43,Ink Card - New Applications,1495.303385
44,Ink Card - New Applications,1497.382176
45,Ink Card - New Applications,0
46,Ink Card - New Applications,0
47,Ink Card - New Applications,0
48,Ink Card - New Applications,0
49,Ink Card - New Applications,0
50,Ink Card - New Applications,0
51,Ink Card - New Applications,258.974557
52,Ink Card - New Applications,258.448127
1,Sapphire Card - New Applications,419.271741
2,Sapphire Card - New Applications,419.271741
3,Sapphire Card - New Applications,419.271741
4,Sapphire Card - New Applications,419.271741
5,Sapphire Card - New Applications,419.271741
6,Sapphire Card - New Applications,419.081585
7,Sapphire Card - New Applications,17.468213
8,Sapphire Card - New Applications,17.479936
9,Sapphire Card - New Applications,730.549193
10,Sapphire Card - New Applications,730.656948
11,Sapphire Card - New Applications,94.53511
12,Sapphire Card - New Applications,94.483417
13,Sapphire Card - New Applications,684.026634
14,Sapphire Card - New Applications,684.152571
15,Sapphire Card - New Applications,1442.811168
16,Sapphire Card - New Applications,1442.380217
17,Sapphire Card - New Applications,2789.751103
18,Sapphire Card - New Applications,2789.230585
19,Sapphire Card - New Applications,952.418056
20,Sapphire Card - New Applications,951.566764
21,Sapphire Card - New Applications,793.030921
22,Sapphire Card - New Applications,792.809922
23,Sapphire Card - New Applications,0
24,Sapphire Card - New Applications,0
25,Sapphire Card - New Applications,0
26,Sapphire Card - New Applications,0
27,Sapphire Card - New Applications,872.641637
28,Sapphire Card - New Applications,872.046839
29,Sapphire Card - New Applications,50.621527
30,Sapphire Card - New Applications,50.649017
31,Sapphire Card - New Applications,0
32,Sapphire Card - New Applications,0
33,Sapphire Card - New Applications,0
34,Sapphire Card - New Applications,0
35,Sapphire Card - New Applications,0
36,Sapphire Card - New Applications,0
37,Sapphire Card - New Applications,0
38,Sapphire Card - New Applications,0
39,Sapphire Card - New Applications,0
40,Sapphire Card - New Applications,0
41,Sapphire Card - New Applications,492.794331
42,Sapphire Card - New Applications,492.555114
43,Sapphire Card - New Applications,790.475392
44,Sapphire Card - New Applications,789.979129
45,Sapphire Card - New Applications,-310.163675
46,Sapphire Card - New Applications,-310.283817
47,Sapphire Card - New Applications,0
48,Sapphire Card - New Applications,0
49,Sapphire Card - New Applications,0
50,Sapphire Card - New Applications,0
51,Sapphire Card - New Applications,0
52,Sapphire Card - New Applications,0
1,Business Checking - New Checking Accounts,2540.255863
2,Business Checking - New Checking Accounts,2540.255863
